epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,239.738,0.3718,0.32551,0.92827,0.99297,0.96649,0.98505,0.92614,0.39887,0.27262,0.96573,0.000212349,0.000212349,0.000212349
88,242.65,0.36551,0.32458,0.90663,0.99157,0.96626,0.98514,0.92984,0.37555,0.26784,0.96801,0.000198202,0.000198202,0.000198202
89,245.318,0.35983,0.3153,0.91469,0.99193,0.96638,0.9862,0.93931,0.42498,0.27517,0.99094,0.000184055,0.000184055,0.000184055
90,247.969,0.35913,0.31271,0.90862,0.99333,0.96666,0.98595,0.93872,0.47717,0.28414,1.00639,0.000169908,0.000169908,0.000169908
91,277.844,0.41495,0.45169,0.93325,0.98238,0.97763,0.98616,0.91035,0.44568,0.29079,0.99074,0.000155761,0.000155761,0.000155761
92,280.547,0.41198,0.38923,0.93127,0.98283,0.97792,0.98521,0.90831,0.44048,0.30223,0.99922,0.000141614,0.000141614,0.000141614
93,283.183,0.38337,0.36829,0.91781,0.99207,0.96655,0.98528,0.92425,0.38607,0.2806,0.95243,0.000127467,0.000127467,0.000127467
94,285.78,0.38317,0.3541,0.91321,0.99292,0.96644,0.98511,0.94274,0.40658,0.26805,0.96808,0.00011332,0.00011332,0.00011332
95,288.483,0.36792,0.33441,0.89745,0.99336,0.96627,0.98511,0.91905,0.3875,0.24895,0.96054,9.91726e-05,9.91726e-05,9.91726e-05
96,291.206,0.35669,0.32829,0.90151,0.99336,0.9663,0.98511,0.91962,0.42724,0.25651,0.98112,8.50255e-05,8.50255e-05,8.50255e-05
97,293.888,0.38991,0.34775,0.92688,0.99357,0.96626,0.98511,0.93036,0.43929,0.26465,0.9878,7.08784e-05,7.08784e-05,7.08784e-05
98,296.61,0.36359,0.34303,0.90457,0.99346,0.96627,0.9851,0.94456,0.43104,0.26109,0.98239,5.67313e-05,5.67313e-05,5.67313e-05
99,299.267,0.3701,0.33419,0.90511,0.99365,0.96635,0.9851,0.94037,0.38138,0.24721,0.95361,4.25842e-05,4.25842e-05,4.25842e-05
100,301.886,0.36004,0.33332,0.91044,0.994,0.96637,0.9851,0.94157,0.34739,0.23833,0.94117,2.84371e-05,2.84371e-05,2.84371e-05
1,4.99897,2.8688,4.84625,2.13674,0.00197,0.38727,0.04792,0.01328,2.51649,4.04457,1.72225,0.0001125,0.0001125,0.0001125
2,8.68997,2.14652,4.36713,1.72997,0.00204,0.36557,0.13604,0.06018,1.86713,3.93685,1.36055,0.000235149,0.000235149,0.000235149
3,12.087,1.97876,3.2368,1.57086,0.00188,0.32622,0.22501,0.10349,1.6166,4.00666,1.35623,0.000355322,0.000355322,0.000355322
4,15.498,1.83958,2.50372,1.45759,0.00275,0.36157,0.20735,0.11206,1.52168,3.83274,1.26316,0.000473021,0.000473021,0.000473021
5,18.957,1.76094,2.12859,1.38974,0.00309,0.40956,0.19644,0.09058,1.70771,3.83591,1.37656,0.000588245,0.000588245,0.000588245
6,22.277,1.69953,1.9982,1.35616,0.00322,0.39965,0.25953,0.12084,1.44568,3.59158,1.21744,0.000700994,0.000700994,0.000700994
7,25.493,1.59,1.8239,1.31926,0.95093,0.2188,0.29568,0.17987,1.3874,3.41707,1.21776,0.000811267,0.000811267,0.000811267
8,28.5148,1.52033,1.68195,1.2335,1,0.04436,0.47213,0.27414,1.33326,3.18609,1.17209,0.000919066,0.000919066,0.000919066
9,31.3708,1.48033,1.57033,1.24695,0.83447,0.02312,0.32572,0.15402,1.68898,3.27235,1.39755,0.00102439,0.00102439,0.00102439
10,34.2268,1.46593,1.5486,1.23013,0.93609,0.10632,0.52191,0.2816,1.51446,2.99688,1.3377,0.00112724,0.00112724,0.00112724
11,37.0398,1.48787,1.46749,1.25604,0.87752,0.56712,0.78512,0.38475,1.65005,2.26379,1.41878,0.00112625,0.00112625,0.00112625
12,39.9355,1.51782,1.4539,1.25852,0.81269,0.52723,0.69214,0.37812,1.56063,1.93709,1.34695,0.00111388,0.00111388,0.00111388
13,42.9099,1.4211,1.39086,1.20101,0.7621,0.65508,0.80822,0.4181,1.43137,1.60199,1.26213,0.0011015,0.0011015,0.0011015
14,45.7499,1.41209,1.28407,1.19947,0.90921,0.80521,0.91719,0.53633,1.35836,1.31982,1.22006,0.00108913,0.00108913,0.00108913
15,48.6299,1.35457,1.23932,1.18299,0.75874,0.76052,0.80804,0.47869,1.32149,1.44882,1.21337,0.00107675,0.00107675,0.00107675
16,51.4299,1.37132,1.2103,1.20904,0.85598,0.8142,0.86414,0.53325,1.32206,1.11546,1.24253,0.00106437,0.00106437,0.00106437
17,54.2469,1.39861,1.18442,1.17041,0.94333,0.82198,0.91924,0.53409,1.3523,0.97261,1.25194,0.001052,0.001052,0.001052
18,57.037,1.3437,1.14178,1.15841,0.88913,0.80952,0.88287,0.46835,1.41109,0.97712,1.30588,0.00103962,0.00103962,0.00103962
19,59.9569,1.30703,1.10127,1.14514,0.91874,0.84338,0.92867,0.52016,1.36165,0.92141,1.25243,0.00102725,0.00102725,0.00102725
20,62.9989,1.29859,1.07074,1.13909,0.81558,0.84655,0.90895,0.53934,1.26092,0.87273,1.18708,0.00101488,0.00101488,0.00101488
21,66.0029,1.24192,0.98419,1.10887,0.87134,0.87965,0.93718,0.5744,1.17147,0.83385,1.14335,0.0010025,0.0010025,0.0010025
22,68.8508,1.21786,0.9911,1.11273,0.96682,0.90221,0.94769,0.54139,1.26873,0.83065,1.17249,0.000990125,0.000990125,0.000990125
23,71.6858,1.22856,0.959,1.12014,0.91607,0.8261,0.92836,0.58688,1.16396,0.78597,1.15298,0.00097775,0.00097775,0.00097775
24,74.563,1.24486,0.98127,1.10405,0.97037,0.86962,0.9409,0.6061,1.19904,0.82351,1.14059,0.000965375,0.000965375,0.000965375
25,77.4029,1.1965,0.91524,1.07572,0.94672,0.93372,0.96057,0.61375,1.15648,0.71092,1.11532,0.000953,0.000953,0.000953
26,80.295,1.17313,0.89548,1.07567,0.89901,0.885,0.94695,0.57445,1.14435,0.7283,1.10428,0.000940625,0.000940625,0.000940625
27,83.2547,1.1942,0.89206,1.07709,0.98806,0.87408,0.94926,0.56669,1.13575,0.74918,1.10138,0.00092825,0.00092825,0.00092825
28,86.3175,1.19178,0.882,1.07678,0.94584,0.94328,0.95833,0.55667,1.15892,0.75132,1.11491,0.000915875,0.000915875,0.000915875
29,89.3065,1.15162,0.85548,1.05671,0.98137,0.9514,0.96024,0.58423,1.15563,0.71814,1.09736,0.0009035,0.0009035,0.0009035
30,92.32,1.12875,0.84191,1.05619,0.95565,0.95079,0.96382,0.59404,1.09505,0.73605,1.133,0.000891125,0.000891125,0.000891125
31,95.2584,1.14264,0.82606,1.06556,0.97468,0.94349,0.96648,0.58999,1.09469,0.68116,1.10628,0.00087875,0.00087875,0.00087875
32,98.2314,1.13863,0.83735,1.06636,0.93748,0.92339,0.95301,0.60821,1.26055,0.7894,1.16799,0.000866375,0.000866375,0.000866375
33,101.071,1.12312,0.82305,1.04632,0.96949,0.92079,0.96093,0.65816,1.0412,0.68313,1.07437,0.000854,0.000854,0.000854
34,104.065,1.0897,0.79623,1.03646,0.97907,0.93546,0.96505,0.62502,1.10433,0.65993,1.10163,0.000841625,0.000841625,0.000841625
35,107.028,1.08758,0.79882,1.03349,0.98292,0.92227,0.95938,0.60222,1.03081,0.64708,1.05412,0.00082925,0.00082925,0.00082925
36,110.184,1.02652,0.73584,1.00844,0.96529,0.87247,0.95852,0.64317,1.02638,0.64647,1.04076,0.000816875,0.000816875,0.000816875
37,113.158,1.04861,0.73887,1.01172,0.96026,0.90561,0.96246,0.65983,1.00324,0.63646,1.03584,0.0008045,0.0008045,0.0008045
38,116.102,1.06478,0.74784,1.02311,0.96641,0.90741,0.94396,0.68379,0.98441,0.621,1.03922,0.000792125,0.000792125,0.000792125
39,119.001,1.05606,0.74131,1.0285,0.96121,0.93309,0.95679,0.67739,0.99081,0.5926,1.03628,0.00077975,0.00077975,0.00077975
